"就診年週","全國","台北區","北區","中區","南區","高屏區","東區"
"202140",4.65,4.57,3.89,6.46,4.45,3.6,4.09
"202141",5.23,5.09,3.79,8.11,4.92,3.69,4.41
"202142",5.09,5.02,3.94,7.19,5.06,3.92,3.96
"202143",5.44,5.35,4.53,7.68,5.25,3.96,4.97
"202144",5.4,5.28,4.09,7.56,5.27,4.32,5.23
"202145",5.24,5.18,4.1,6.71,5.08,4.38,7.64
"202146",5.47,5.56,4.37,7.33,5.12,4.29,6.04
"202147",5.38,5.85,4.02,6.79,5.51,4.15,5
"202148",5.42,5.58,4.32,6.72,5.44,4.46,6.3
"202149",5.59,5.98,4.28,6.59,5.69,4.85,5.87
"202150",5.76,6.21,4.51,6.82,6.19,4.7,4.99
"202151",5.44,5.83,4.34,6.21,5.81,4.74,4.94
"202152",5.64,5.71,4.66,6.3,6.24,5.17,5.32
"202201",6.54,7.43,5.65,6.8,6.81,5.38,6.58
"202202",7.07,7.36,7.33,7.42,7.2,5.84,7.07
"202203",7.2,6.97,8.18,7.3,7.08,6.57,7.88
"202204",7.81,7.05,9.13,8.75,6.29,7.94,7.43
"202205",6.49,5.74,6.24,8.24,5.6,6.27,7.35
"202206",6.51,5.8,5.52,9.27,5.69,5.55,6.4
"202207",5.59,5.27,4.51,6.91,5.99,4.93,6.39
"202208",4.76,5.18,4.55,3.87,5.26,4.81,6.33
"202209",4.73,5.03,4.58,4.09,5.49,4.44,5.7
"202210",4.8,5.2,4.5,4.22,5.57,4.4,5.82
"202211",5.17,5.47,4.6,4.69,6.23,4.81,6.36
"202212",4.98,5.35,4.5,4.63,5.97,4.28,6.37
"202213",5.16,5.95,4.78,4.3,5.5,4.75,6.79
"202214",5.93,6.41,5.73,4.78,5.96,6.41,7.53
"202215",6.86,8.8,6.63,4.76,6.74,6.14,9.12
"202216",11.86,18,12.78,6.61,8.54,7.62,13.39
"202217",19.15,29.37,22.49,9.36,10.18,9.39,15.14
"202218",27.74,37.38,31.78,18.54,19.28,15.15,25.48
"202219",29.42,34.27,34.67,22.27,27.23,20.14,28.25
"202220",20.96,21.24,21.46,21.95,21.38,16.85,24.52
"202221",22.86,23.59,21.49,23.16,24.58,21.9,19.83
